LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rinsert,"ROGER THAT. ON OUR WAY. OVER.",alpha
STRM_Rextract,"COPY THAT, BRAVO. TRANSPORT ON WAY.",hq
STRM_Rextract1,"BRAVO SQUAD, GET ABOARD! WE'VE GOT TO MOVE OUT QUICKLY."
STRM_Rwelcomehome,"WELCOME HOME GUYS.",alpha
STRM_Rgogetem,"GOOD LUCK BOYS. GO GET 'EM. OVER.",alpha
STRM_Rgetready,"GET READY FOR INSERTION!",alpha
STRM_Rdustoff,"DUSTOFF!",alpha

STRM_Rcolonelgone,"BRAVO TO BASE. THE TARGET IS NEUTRALIZED I REPEAT THE TARGET IS NEUTRALIZED. OVER.",bravo
STRM_Rgogogo,"EVERYBODY IS ON BOARD. GO GO GO!",bravo

STRM_Rcomplete,"ROGER THAT BRAVO. NOW GET BACK HOME SAFELY. OVER.",hq

