LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rjoin,"UNITED STATES SPECIAL FORCES. WE ARE HERE TO TAKE YOU HOME. COME WITH ME, NOW!",deltas

STRM_Rextract,"OK POWS GET READY FOR EXTRACTION. OVER.",extract
STRM_Rwerehit,"WE'RE HIT, WE'RE HIT. GOING DOWN. WE ARE GOING DOWN. OVER.",extract

STRM_Rmcomplete,"PAPA BEAR TO OUR MISSING TEAM. WELCOME HOME BOYS. PAPA BEAR OUT.",hq

STRD_Rmissname,"PMC Escape",missionname
STRL_Rload,"Rotting at Russian POW camp...",loadname
