LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rofficers,"OKAY OFFICERS. ITS YOUR TURN, GET READY FOR EXTRACTION. OVER.",helo
STRM_Rdustoff,"DUSTOFF. WE ARE GOING HOME GUYS. OVER.",helo
STRM_Rdropoff1,"DROPPING OFF CARGO NOW. HEADING BACK IN A FEW MOMENTS. OVER.",helo
STRM_Rwaypoint,"AT WAYPOINT. ETA FEW MOMENTS. GET READY OFFICERS! OVER.",helo

STRM_Rathome,"PAPA BEAR TO OFFICERS. WELCOME HOME. OVER.",hq

STRD_Rmissname,"PMC Evac!",missionname
STRL_Rload,"Get the hell out of there!",loadname
