LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. WE HAVE CAPTURED THE AIRBASE. SEND IN THE CHOPPERS. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. PETROVICE HAS BEEN CAPTURED. OVER.",alpha
STRM_Reastdead3,"ALPHA TO PAPA BEAR. MODRAVA UNDER OUR CONTROL. OVER.",alpha
STRM_Reastdead4,"ALPHA TO PAPA BEAR. WE HAVE TAKEN LIPANY. OVER.",alpha

STRM_Rhqreplyab,"PAPA BEAR TO ALPHA BLACK. UNDERSTOOD AIRBASE IS SECURE. SENDING CHOPPERS. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. ROGER THAT. OVER.",hq
STRM_Rhqreply3,"PAPA BEAR TO ALPHA. GOOD WORK. OVER.",hq
STRM_Rhqreply4,"PAPA BEAR TO ALPHA. EXCELLENT WORK TEAM. OVER.",hq

STRD_Rmissname,"PMC Fierce Eagle",missionname
STRL_Rload,"War on Nogova",loadname
