LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE ONE IS CLEARED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. CASTLE RUINS ARE SECURE. OVER.",alpha
STRM_Rfoundthem,"THIS IS ALPHA. WE HAVE SECURED THE HOSTAGES. OVER.",alpha
STRM_Rcallext,"ALPHA BLACK TO PAPA BEAR. REQUESTING IMMEDIATE EXTRACTION. OVER.",alpha

STRM_Rinsert,"BRAVO TO ALPHA. INSERTION LZ IN SIGHT, GET READY. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA BLACK. CALL US WHEN YOURE READY. BRAVO OUT.",bravo
STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR EXTRACTION. OVER.",bravo
STRM_Rdustoff,"LIFTOFF. GOING HOME. OVER.",bravo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. UNDERSTOOD. OVER.",hq
STRM_Rextonway,"PAPA BEAR COPIES. SENDING BLACK HAWK. GET INTO EXTRACT LZ. OVER.",hq

STRD_Rmissname,"PMC Hostage Rescue 2",missionname
STRL_Rload,"HR Action in Nogova",loadname
