LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Robjective,"ALPHA TO PAPA BEAR. TARGET IS SECURED. SEND IN THE EXTRACTION TEAM. ALPHA OUT.",alpha
STRM_Rblackhawkdown,"WE HAVE BLACK HAWK DOWN, WE HAVE BLACK HAWK DOWN...",alpha
STRM_Ratcrashsite,"ALPHA IS AT THE BLACK HAWK CRASH SITE. WAITING FURTHER ORDERS. OVER.",alpha
STRM_Rcrewfound,"PAPA BEAR WE HAVE LOCATED THE PILOTS. OVER.",alpha
STRM_Rsecureforsar,"PAPA BEAR THIS IS ALPHA BLACK. THE AREA IS SECURE FOR SAR PACKAGE. SEND THEM IN. OVER.",alpha
STRM_Rassault1extract,"ALPHA BLACK IS COUNTED. LETS ROLL. OVER.",alpha
STRM_Rdragged,"ALPHA TO PAPA BEAR. BOTH PILOTS HAVE BEEN DRAGGED TO THE DOWNED HELO. OVER.",alpha

STRM_Rass2casu,"THIS IS BRAVO BLACK. WE ARE TAKING CASUALTIES! NEED SOME SUPPORT NOW! OVER.",bravo
STRM_Rassault2extract,"BRAVO BLACK. WERE GOOD TO GO. OVER.",bravo

STRM_Runloading,"CHARLIE UNLOADING THE BACKUP FORCE. OVER.",secure
STRM_Rmovingout,"CIVILIANS ARE ON BOARD. MOVING BACK TO NATO TERRITORY. CHARLIE OUT.",secure

STRM_Rlzinsight,"GET READY PEOPLE, LZ IN SIGHT!",helo
STRM_Rgoingdown,"WE'RE HIT! WE'RE HIT! GOING DOWN, WE ARE GOING DOWN!",helo

STRM_Rsaronlocation,"KILO BLACK AT THE CRASH SITE. OVER.",kilo
STRM_Rsardone,"THIS IS KILO BLACK. WE WILL DRAG BODIES TO THE LZ, PROCEED WITH THE EXTRACTION. KILO OUT.",kilo
STRM_Rsar2extract,"KILO BLACK ON BOARD AND READY TO GO. OVER.",kilo

STRM_Rlandextract,"WE ARE READY TO EXTRACT. GET READY TO BOARD THE HELO. OVER.",extractor
STRM_Rdustoff,"DUST OFF. WERE GOING HOME BOYS. EVERYBODY MOVE OUT. OVER.",extractor
STRM_Rathome,"PAPA BEAR BE ADVICED. ALL FRIENDLY FORCES HAVE RETURNED TO HOME BASE. OVER.",extractor

STRM_Rcharges,"THIS IS SEAL ONE. SATCHEL CHARGES ARE SET. DOWNED BLACKHAWK IS RIGGED TO BLOW. OVER.",seal1

STRM_Rsecurecrashsite,"COPY ALPHA. PROCEED AND SECURE THE CRASH SITE. BRAVO WILL SECURE THE TARGET AREA. OVER.",hq
STRM_Rfindsurvivors,"ROGER. YOU MUST FIND THE BLACK HAWK PILOTS. OVER.",hq
STRM_Rsecuresiteuntilbackup,"DRAG THE PILOTS INTO CRASH SITE AND SECURE IT UNTIL WE GET SAR ON SCENE. OVER.",hq
STRM_Rsendingtanks,"ALPHA BLACK BE ADVICED WE ARE SENDING PLATOON OF M1A1 ABRAMS TO SUPPORT YOU. OVER.",hq
STRM_Rsupportonway,"ALPHA BLACK THIS IS PAPA BEAR. BE ADVICED WE HAVE TWO APACHE GUNSHIPS ENROUTE TO SUPPORT YOU. OVER.",hq
STRM_Rsarpktready,"PAPA BEAR TO ALPHA BLACK. SAR PACKAGE IS READY. WHEN YOU FEEL ITS SECURE ENOUGH, USE RADIO TO MAKE THE CALL. DO NOT I REPEAT DO NOT COMPROMISE THE SAR TEAM IS THAT CLEAR. OVER.",hq
STRM_Rextractioncoming,"ALL FORCES INTO THE TARGET SITE FOR EXTRACTION. WE ARE DONE HERE. PAPA BEAR OUT.",hq
STRM_Rsaronway,"ALPHA BLACK. BE ADVICED WE HAVE SAR PACKAGE ENROUTE CALLSIGN KILO BLACK. ETA THREE MINUTES. KEEP THE CRASH SITE SECURE. PAPA BEAR OUT.",hq
STRM_Rdragok,"UNDERSTOOD ALPHA. OVER.",hq

STRD_Rmissname,"PMC Operation Liberty",missionname
STRL_Rload,"Time to help some civilians",loadname
