LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rheretheycome,"Alpha Black to PapaBear, incoming russians. We are now engaged, where is that support. Over.",alpha
STRM_Ralldead,"Alpha to PapaBear, seems like all russians are either dead or fleeing. Send in the extract. Over.",alpha
STRM_Rwerehome,"Alpha to PapaBear, we are back at the base. Alpha out.",hq

STRM_Rsupponway,"PapaBear to Alpha, we copy, support should be there momentarily. Hang tight. Over.",hq
STRM_Rextractonway,"PapaBear to Alpha, understood. Extract helo onway. PapaBear out.",hq
STRM_Rmcomplete,"PapaBear to Alpha. Roger that, welcome back. Mission Accomplished. Out.",hq

STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR EXTRACTION. OVER.",bravo
STRM_Rdustoff,"LIFTOFF. GOING HOME. OVER.",bravo

STRD_Rmissname,"PMC Valley Escape",missionname
STRL_Rload,"At the oil farm",loadname

start marker name string
STR_START,Start
